legal_articles,legal_violation_categories,violation_keywords,reason_ai
《2022年10月第47号凭证》,其他,ai,仅有凭证编号无法判断具体类型。
《2022年3月1日第5号凭证》,其他,ai,凭证仅编号信息，无法判断具体类型。
《2022年3月第39号凭证》,其他,ai,仅凭凭证名称无法判断具体类别。
《2022年7月31日第1号凭证》,其他,ai,仅有凭证编号，无具体案情描述。
《2022年7月第32号凭证》,其他,ai,凭证仅有编号日期，无法判断具体类型。
《2022年8月31日第4号凭证》,其他,ai,仅有凭证标题无具体案情内容。
《2022年8月第41号凭证》,其他,ai,仅有凭证标题，无具体违法内容。
《2022年9月30日第3号凭证》,其他,ai,仅有凭证名称，无具体违法内容。
《2022年9月第38号凭证》,其他,ai,仅有凭证编号，无具体违法内容。
《2022年从化区市场监督管理局年报、核查函投递反馈表》,市场主体与登记治理,ai,涉及年报及核查函投递反馈事项。
《2022年全市机动车停放服务收费专项整治行动工作方案》,市场秩序与竞争监管,ai,《机动车停放服务收费》属收费监管。
《2022年半年度报告》,其他,ai,仅出现报告名称，无法判断具体内容。
《2022年惠州市创兴达建材有限公司取水统计月数据》,环境保护,ai,涉及企业取水统计及用水管理。
《2022年教育培训记录》,其他,ai,《教育培训记录》无具体案情可判。
《2022年第一季度报告》,其他,ai,《报告》标题笼统，无法判断具体内容。
《2022年第三季度报告》,其他,ai,仅为报告名称，无法确定具体违规内容。
《2022年邯郸市建筑用绝缘电工套管产品监督抽查规范》,产品质量与安全,ai,针对产品监督抽查与质量要求规范。
《2023年2月28日第3号凭证》,其他,ai,仅凭证名称无实质条款内容可判。
《2023年2月第38号凭证》,其他,ai,仅有凭证编号，无具体违法内容。
《2023年3月31日第2号凭证》,其他,ai,仅有凭证编号，无具体违法内容。
《2023年3月第42号凭证》,其他,ai,仅有凭证编号，无具体违法内容。
《2023年度防灭火专项设计》,消防安全,ai,防灭火专项设计直接涉及消防规范。
《2023年第三季度储量小结》,粮食/储备粮管理,ai,标题含“储量小结”涉及粮食储备管理。
《2023江苏省民生领域案件查办“铁拳”行动实施方案》,其他,ai,仅给出行动方案名称，无法细分。
《20316主运、辅运顺槽掘进工作面作业规程》,安全生产,ai,矿井掘进作业规程，属安全生产管理。
《20316主运顺槽掘进工作面作业规程》,安全生产,ai,《作业规程》属矿山安全生产管理。
《21310综采工作面回采作业规程》,安全生产,ai,《回采作业规程》属矿山安全管理规范。
《221513综采工作面作业规程》,安全生产,ai,矿井综采工作面作业规程属安全生产。
《221517综采工作面作业规程》,安全生产,ai,矿井综采工作面作业规程属安全生产管理。
《2305综放工作面作业规程》,安全生产,ai,作业规程属生产安全操作规范。
《23采区煤岩层综合柱状图》,其他,ai,《煤岩层综合柱状图》为技术资料名称。
《27316上顺槽掘进作业规程》,安全生产,ai,矿井掘进作业规程，属生产安全管理。
《27316上顺槽措施巷作业规程》,安全生产,ai,《作业规程》属矿井作业安全管理。
《27316下顺槽措施巷作业规程》,安全生产,ai,煤矿作业规程，属生产安全管理。
《28、29频道合作协议》,公共文化与传媒,ai,《频道合作协议》属广播电视传媒领域。
《30218综采工作面作业规程》,安全生产,ai,矿井综采作业规程属安全生产管理。
《3131综放工作面作业规程》,安全生产,ai,矿山作业规程，属生产安全管理。
《3199采煤工作面作业规程》,安全生产,ai,采煤作业规程属矿山安全生产规范。
《3202综采工作面作业规程》,安全生产,ai,矿山作业规程属生产安全管理规范。
《3204回撤通道掘进工作面作业规程》,安全生产,ai,矿井作业规程属生产安全管理。
《32K13综采工作面外切眼安装作业规程》,安全生产,ai,矿井作业规程属安全生产管理。
《32K13综采工作面超前支护强度验算及防倒措施》,安全生产,ai,煤矿支护强度、防倒措施属安全生产。
《3308综放工作面作业规程》,安全生产,ai,《作业规程》属矿山安全生产规范。
《3309综放工作面回采作业规程》,安全生产,ai,矿山回采作业规程属生产安全规范。
《3401综采工作面回采作业规程》,安全生产,ai,煤矿综采作业规程属安全生产规范。
《3403工作面水文地质情况评估报告》,安全生产,ai,矿井工作面水文地质评估属安全生产管理。
《3404采煤工作面作业规程》,安全生产,ai,采煤作业规程属矿山安全生产管理。
《401106回采工作面作业规程》,安全生产,ai,矿井回采作业规程属安全生产管理。
《401110回风顺槽掘进工作面作业规程》,安全生产,ai,矿井掘进作业规程，属生产安全管理。
《401盘区冲击地压防治专项设计》,安全生产,ai,《冲击地压防治专项设计》属矿山安全管理。
《402101工作面掘进期间冲击危险性评价及防冲设计》,安全生产,ai,煤矿工作面防冲击危险设计属安监。
《402101掘进工作面作业规程》,安全生产,ai,矿山掘进作业规程，属生产安全规范。
《40307工作面回风顺槽掘进作业规程》,安全生产,ai,矿井掘进作业规程，属安全生产规范。
《40307胶带顺槽掘进工作面作业规程》,安全生产,ai,矿山作业规程与生产安全直接相关。
《40307运顺爆破卸压记录台账》,安全生产,ai,涉及爆破作业台账，属危化安全管理。
《4110综放工作面作业规程》,安全生产,ai,系矿井作业规程，属生产安全管理。
《4302综放工作面采煤作业规程》,安全生产,ai,矿山采煤作业规程，属生产安全规范。
《4316综放工作面作业规程》,安全生产,ai,矿井作业规程属生产安全管理。
《50106回撤通道掘进工作面作业规程》,安全生产,ai,矿井作业规程属生产安全管理。
《504主运顺槽掘进工作面扩帮作业规程》,安全生产,ai,矿井掘进作业规程，属生产安全规范。
《5108上分层回风顺槽作业规程》,安全生产,ai,矿井作业规程，属生产安全管理。
《5108主运顺槽掘进作业规程》,安全生产,ai,矿井掘进作业规程，属生产安全管理。
《51101综采工作面作业规程》,安全生产,ai,矿山综采作业规程属安全生产管理。
《51203综采工作面防灭火措施》,安全生产,ai,煤矿综采工作面防灭火安全管理措施。
《513外段工作面停产线外错防冲专项措施》,安全生产,ai,矿山工作面停产防冲专项安全措施相关。
《56902运料道掘进工作面作业规程》,安全生产,ai,煤矿作业规程，属生产安全规范。
《58同城网络服务单》,其他,ai,仅出现服务单名称，无法判断。
《58同城网络服务通用条款》,网络/数据安全,ai,系网络平台服务条款，属网络规范。
《60306采煤工作面作业规程》第四节第七项、,安全生产,ai,矿山采煤作业规程，典型安全生产。
《6105作业规程》,安全生产,ai,作业规程属安全操作规范。
《61701回风巷掘进工作面作业规程》,安全生产,ai,矿井掘进作业规程，属生产安全管理。
《6分卡资费》,市场秩序与竞争监管,ai,《资费》涉及收费标准与价格管理。
《7317综采工作面作业规程》,安全生产,ai,矿井综采作业规程，属生产安全管理。
《80后的养老事业：养老产业商业模式与跨界创新》,其他,ai,《80后的养老事业》为书名，无违规内容。
《8101运中巷掘进工作面作业规程》,安全生产,ai,矿井掘进作业规程，属生产安全管理。
《8302东工作面作业规程》,安全生产,ai,《作业规程》属矿山安全操作规范。
《8310工作面联络巷作业规程》,安全生产,ai,矿山作业规程属安全生产规范。
《8310综采工作面作业规程》,安全生产,ai,《作业规程》属矿山安全生产管理。
《8805采煤工作面作业规程》,安全生产,ai,采煤工作面作业规程属安全生产管理。
《916上03工作面作业规程》,安全生产,ai,《作业规程》体现矿山安全生产管理。
《9704低抽巷作业规程》,安全生产,ai,《作业规程》属矿山安全生产管理。
《9800皮带巷作业规程》,安全生产,ai,矿山皮带巷作业规程属安全生产管理。
《AAA级信用单位》,*信用评价管理*,ai,涉及AAA级信用单位信用管理规范。
《AAA级诚信企业》,其他,ai,《AAA级诚信企业》无明确指向领域。
《ACVIM共识声明指南：猫心肌病分类、诊断和管理》,其他,ai,《ACVIM指南》属医学共识非法律规范。
《C8315轨顺回迎掘进作业规程》,安全生产,ai,矿山掘进作业规程，属安全生产管理。
《CCC中国国家强制性产品》,产品质量与安全,ai,涉及国家强制性产品认证CCC制度。
《DB 31/2016-2021》,安全生产,ai,地方安全生产技术标准，属安全生产。
《DB50/T15-2001小曲酒》,产品质量与安全,ai,酒类地方标准，属食品安全监管。
《DCS联锁解投管理制度》,安全生产,ai,涉及联锁解投管理，属生产安全规程。
《DHC橄榄俱乐部》,其他,ai,仅见名称无实质条款内容。
《Dwell》,其他,ai,仅给出标题《Dwell》，无法判断具体类型。
《EPC总承包合同》,建设工程与房地产,ai,EPC总承包合同系工程建设领域合同。
《GB/T 22106-2008 非发酵豆制品》,产品质量与安全,ai,食品国家标准豆制品质量规范。
《GB/T 33271-2016 机织婴幼儿服装》,产品质量与安全,ai,机织婴幼儿服装属产品质量标准。
《GB/T8878-2009》,产品质量与安全,ai,GB/T8878-2009为产品质量国家标准。
《GB/T8878-2014》,产品质量与安全,ai,《GB/T8878-2014》为产品质量国家标准。
《GB18401-2003B类》,产品质量与安全,ai,GB18401为纺织产品国家安全质量标准。
《GB19147-2013》,计量/器具,ai,GB19147为车用燃气计量国家标准。
《GB5296.4-1998》,产品质量与安全,ai,GB5296属产品使用说明标准规范。
《GB7718-2011》,产品质量与安全,ai,GB7718系预包装食品标签国家标准
《GPS管理和使用规定》,交通运输,ai,GPS管理使用多涉及道路运输监管。
《GZ19210102皮凉鞋370-2015》,产品质量与安全,ai,鞋类产品标准，属于产品质量规范。
《Garden?》,其他,ai,《Garden?》含义不明无法对应分类。
《IT经理世界》,公共文化与传媒,ai,《IT经理世界》属出版传媒领域。
《I时代报》,公共文化与传媒,ai,系报纸出版发行相关领域。
《JJG14-2016非自行指示秤》,计量/器具,ai,JJG为计量检定规程，属计量器具监管。
《JJG52-2013弹性元件式一般压力表、压力真空表和真空表检定规程》,计量/器具,ai,压力表检定规程属计量器具规范。
《JJG52-2013弹性元件式一般压力表、压力真空表和真空表检定规程》第7.5项,计量/器具,ai,涉及压力表检定规程，属计量器具。
《MGI》,其他,ai,仅给出标题MGI，无具体内容。
《MLB特许经营加盟合同》,其他,ai,仅有合同名称，无任何违法内容描述。
《Misericordia》,其他,ai,仅给出法规名称，无法判断具体类型。
《Mystery》,其他,ai,仅有标题《Mystery》，无法判断具体内容。
《NO：SBJSP2301097》,其他,ai,仅有编号无具体法条内容描述。
《NuncCoepi》,其他,ai,仅给出篇名，无具体条文内容。
《QB/T2174-2006》,产品质量与安全,ai,QB/T 为轻工行业产品质量标准。
《QB/T2174-95》,产品质量与安全,ai,QB/T属轻工产品行业标准，指向产品质量。
《RiseUp》,其他,ai,仅给出作品名，无具体条文内容。
《Rooted》,其他,ai,《Rooted》未体现具体违法领域内容。
《SB/T10003-1992广式香肠》,产品质量与安全,ai,执行广式香肠产品标准，属产品质量规范。
《SMC公司简介》,其他,ai,仅为公司简介标题，无违法内容。
《SWEET橙子家族》,其他,ai,仅有标题无实质内容，无法判断。
《WOMAN女神》,其他,ai,仅有刊物名称，无法对应具体类别。
《YES 88生活资讯》,其他,ai,《YES 88生活资讯》无具体条款内容。
《{美肌门诊}在线营业|新年气象,市场秩序与竞争监管,ai,“美肌门诊在线营业新年气象”涉嫌宣传营销。
《“一超四罚”工作联系单》,交通运输,ai,“一超四罚”系超限超载治理制度。
《“京东ＪＤ.ＣＯＭ”开放平台店铺（商家ＩＤ165194）服务协议》,网络市场交易/市场秩序,ai,电商平台店铺服务协议，属网购秩序。
《“土家”双蛇藤茶酒（配制酒）》,产品质量与安全,ai,《配制酒》属食品酒类管理。
《“手拉手”合作办园协议》,其他,ai,仅有协议名称，无法判断具体类型。
《“绕城大道”加油站租赁合同》,其他,ai,《合同》标题过于简略，无实质内容。
《“金宏豪庭”9#开盘方案》,建设工程与房地产,ai,《开盘方案》涉及商品房销售管理。
《“雨季三防”实施方案》,安全生产,ai,"""雨季三防""属防汛防灾等安全生产管理。"
《№:A2220476821103002C》,其他,ai,仅有编号无内容，无法判断。
《№:A2220476821103004C》,其他,ai,仅提供案号无条文内容，无法判断。
《〈卫星电视广播地面接收设施管理规定〉实施细则》第十条,公共文化与传媒,ai,卫星电视广播接收设施管理，属传媒领域。
《〈国务院关于废止和修改部分行政法规的决定〉附件2〈国务院决定修改的行政法规〉》,其他,ai,仅有法规标题，缺乏具体条款内容。
《〈杭州市生活垃圾管理条例〉行政处罚自由裁量规定》,环境保护,ai,生活垃圾管理条例，属环境管理范畴。
《〈西南网景〉网站服务订单》,网络市场交易/市场秩序,ai,《网站服务订单》指向网络服务交易规范。
《〈郎酒核心分销商协议〉补充协议》,市场秩序与竞争监管,ai,经销分销协议调整，属市场秩序监管。
《【吃货集合】日本发酵の食文化你知多少？》,其他,ai,标题为科普文章，无违法内容信息。
《【面试峰会】趁热血,其他,ai,《
《一典即通》,其他,ai,《一典即通》未给出具体内容。
《一房一价表》,建设工程与房地产,ai,《一房一价表》系商品房价格管理。
《一次性使用卫生用品卫生标准》,卫生健康,ai,一次性卫生用品卫生标准属医疗卫生规范。
《一次性使用无菌血管内导管第3部分:中心静脉导管》,卫生健康,ai,医疗器械标准涉及临床用导管规范。
《一次性使用血液灌流器》,卫生健康,ai,一次性血液灌流医疗器械管理相关。
《一次性非医用平面口罩》,产品质量与安全,ai,涉及一次性非医用口罩质量标准。
《一盘区大巷煤柱条带膏体充填回收工作面作业规程》,安全生产,ai,煤矿作业规程，属生产安全规范。
《一盘区西翼进风巷掘进作业规程》,安全生产,ai,矿井掘进作业规程，属生产安全管理。
《一采区-200m标高回风石门掘进工作面作业规程》,安全生产,ai,矿井作业规程，属生产安全管理。
《万山红遍》,其他,ai,《万山红遍》无明确指向具体领域。
《万盛老城区控制性详细规划及城市设计》,建设工程与房地产,ai,《控制性详细规划》属土地利用管理。
《万科城前期物业服务协议》,建设工程与房地产,ai,《物业服务协议》属房地产领域合同。
《万科城物业服务中心物业收费公示栏》,市场秩序与竞争监管,ai,涉及物业收费标准及公示内容。
《三亚市崖州区旅游和文化广电体育局关于南山景区内违章建筑报备的函》,建设工程与房地产,ai,涉及景区内违章建筑报备问题。
《三合公司徐娜情况说明》,其他,ai,仅有标题无具体案情内容。
《三峡都市报》,其他,ai,只有报纸名称，无具体违法内容。
《三明市统计行政处罚自由裁量权实施办法》,统计相关,ai,针对统计行政处罚自由裁量。
《三都水族自治县粮食贸易有限责任公司关于食用油销售与召回的情况说明》,粮食/储备粮管理,ai,粮食公司食用油销售及召回事项相关。
《上市公司信息披露管理办法》,金融/账户,ai,证券监管信息披露规则，属资本市场领域。
《上市公司信息披露管理办法》第二条、第二十一条,金融/账户,ai,涉上市公司信息披露管理，属证券监管】
《上市公司信息披露管理办法》第五十九条,金融/账户,ai,证券监管信息披露违法，属资本市场违规。
《上市公司现场检查办法》,金融/账户,ai,《上市公司现场检查办法》属证券监管领域。
《上市公司重大资产重组管理办法》第四条及,金融/账户,ai,涉及上市公司重大资产重组监管规定。
《上海世博会中国馆机电安装及综合管理专业分包协议书》,建设工程与房地产,ai,涉及世博会馆机电安装专业分包协议。
《上海乾清电子科技有限公司章程》,其他,ai,仅为公司章程名称，无具体违法情节。
《上海劳达斯洁具有限公司供货协议》,消费者权益/市场秩序,ai,供货协议合同争议，涉买卖关系。
《上海医学》,其他,ai,仅有期刊名称，无具体违法内容。
《上海市住宅物业管理规定》第七十八条的规定,建设工程与房地产,ai,系住宅物业管理领域法规。
"《上海市住宅物业管理规定》第七十八条的规定,本机关决定对你(单位)作出以下行政处罚:罚款",物业管理*,ai,依据住宅物业管理规定作出处罚。
《上海市住宅物业管理规定》第五十九条,建设工程与房地产,ai,物业管理法规，多属房地产管理。
《上海市住宅物业管理规定》第五十九条的规定,建设工程与房地产,ai,物业管理规定，多属住宅物业领域。
《上海市住宅物业管理规定》第五十条第二款第四项,建设工程与房地产,ai,规范住宅物业管理活动内容。
"《上海市住宅物业管理规定》第五十条第二款第四项,",建设工程与房地产,ai,属住宅物业管理法规范畴。
《上海市住宅物业管理规定》第八十七条,*住宅物业管理*,ai,针对住宅物业管理行为规定。
《上海市促进生活垃圾分类减量办法》第三十二条第一款,*生活垃圾分类管理*,ai,基于生活垃圾分类减量管理规定。
《上海市促进生活垃圾分类减量办法》第十八条第一款第一项,环境保护,ai,生活垃圾分类减量管理，属环保领域。
《上海市停车场(库)管理办法》第三十三条第一款第二项,交通运输,ai,涉停车场管理，属城市交通领域。
《上海市停车场(库)管理办法》第十五条第六项,交通运输,ai,停车场管理办法属城市交通管理事项。
《上海市停车场(库)管理办法》第十四条的规定,交通运输,ai,停车场管理办法属城市交通管理范畴。
《上海市停车场（库）管理办法》第三十三条第一款第二项,交通运输,ai,停车场管理属城市交通运输管理。
《上海市停车场（库）管理办法》第十五条第一项,交通运输,ai,属停车场管理规定，属交通领域。
《上海市公共场所控制吸烟条例》,*公共场所控烟*,ai,依据上海市公共场所控制吸烟条例。
《上海市公共汽车和电车乘坐规则》,交通运输,ai,城市公交乘车管理规则，属交通运输。
《上海市公路管理条例》第三十五条第一款,交通运输,ai,属地方公路管理规范，交通领域。
《上海市公路管理条例》第二十九条第一款第十一项,交通运输,ai,《上海市公路管理条例》属公路管理领域。
