legal_articles,legal_violation_categories,violation_keywords,reason_ai
《中华人民共和国反不正当竞争法》第二十二条和国家工商局,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十二条和,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十二条、,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十四条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十六条：“经营者违反本法第十三条,不正当竞争/商业贿赂,不正当竞争||竞争,
"《中华人民共和国反不正当竞争法》第二十条和第二十五条的规定,经研究决定对当事人处罚款",不正当竞争/商业贿赂,不正当竞争||竞争,
根据《中华人民共和国反不正当竞争法》第二十条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《重庆市反不正当竞争条例》第四十一条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《中华人民共和国反不正当竞争法》第五条第（二）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《重庆市反不正当竞争条例》第四十一条第一款,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《重庆市反不正当竞争条例》第四十二条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《反不正当竞争法》第24条第1款,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争条例》第十条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《反不正当竞争》第13条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第五条第（三）项,不正当竞争/商业贿赂,不正当竞争||竞争,
依据《黑龙江省反不正当竞争条例》第二十九条第一款第一项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《中华人民共和国反不正当竞争法》第五条第（一）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第五条第二项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第五条第一款第（四）项,不正当竞争/商业贿赂,不正当竞争||竞争,
"《中华人民共和国反不正当竞争法》第五条,",不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第五条(二)项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第五条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二条第三款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二条第一款及第八条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十条第二款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十条第一款：“经营者违反本法第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十条第一款“经营者违反本法第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十条第一款:“经营者违反本法第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
"《中华人民共和国反不正当竞争法》第二十条第一款,",不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第五条第一款第（一）项、笫（三）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十三条”的规定,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十三条,不正当竞争/商业贿赂,不正当竞争||竞争,
《重庆市反不正当竞争条例》第十三条第一款、第二款,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《中华人民共和国反不正当竞争法》第9条第1款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第9条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第8条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第8条、以及,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第8条、,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第8条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第6条、,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第5条第4项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第5条第3项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第5条第1项,不正当竞争/商业贿赂,不正当竞争||竞争,
《关于对＜反不正当竞争法＞第五条第（四）项所列举的行为之外的虚假表示行为如何定性处理问题的答复》,不正当竞争/商业贿赂,虚假||不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第26条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第七条第一款第三项,不正当竞争/商业贿赂,不正当竞争||竞争,
《河北省反不正当竞争条例》第十条第一款第三项,不正当竞争/商业贿赂,ai,
《中华人民共和国反不正当竞争法》第24条第1款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第24条第1款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第23条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第22条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第21条第2款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第21条第1款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第13条第3项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第13条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第12条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法(2017年修订)》第二十条第一款“经营者违反本法第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《河北省反不正当竞争条例》第十条第（四）项,不正当竞争/商业贿赂,ai,
"《中华人民共和国反不正当竞争法》第二十三条,",不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第七条第一款第（二）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十三条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十一条第二款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竟争法》第十三条三项,不正当竞争/商业贿赂,ai,适用反不正当竞争法商业贿赂条款。
《中华人民共和国反不正当竟争法》第八条,不正当竞争/商业贿赂,ai,第八条规范经营者商业贿赂行为。
《中华人民共和国反不正当竟争法》第二十四条第一款,不正当竞争/商业贿赂,ai,适用反不正当竞争法规制行为。
《中华人民共和国反不正当竟争法》第二十六条,不正当竞争/商业贿赂,ai,依据反不正当竞争法条款归类。
《中华人民共和国反不正当竟争法》第九条第（一）项,不正当竞争/商业贿赂,ai,第九条第一项规范经营者商业贿赂行为。
《中华人民共和国反不正当竟争法》第九条,不正当竞争/商业贿赂,ai,第九条规定经营者商业贿赂行为。
《中华人民共和国反不正当竞争法》第二十一条第二款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十一条第一款和,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十一条第一款、,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十一条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第三条第二款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第二十一条及,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条第（一）款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条第一项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条第一款规定依据,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条第一款的规定依据,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条第一款和,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条第一款之规定依据,不正当竞争/商业贿赂,不正当竞争||竞争,
"《中华人民共和国反不正当竞争法》第九条第一款,",不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条之规定依据,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《重庆市反不正当竞争条例》第十三条第一款,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《重庆市反不正当竞争条例》第十一条第（十）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《中华人民共和国反不正当竞争法》第五条第（二）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第第十三条第（三）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《云南省反不正当竞争条例》第十四条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《云南省反不正当竞争条例》第七条第三款,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《中华人民共和国反不正当竞争法》第十条第一项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十条第一款“经营者进行有奖销售不得存在下列情形：”第三项,不正当竞争/商业贿赂,不正当竞争||有奖销售||竞争,
《反不正当竞争法》第五条第（三）、（四）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十八条第一款的规定,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十八条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十二条和,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十二条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二条、第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第（三）项,不正当竞争/商业贿赂,ai,
《反不正当竞争法》第二条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十四第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十四条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十四条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十六条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十二条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十九条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十二条和,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条（三）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第（三）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第（三）款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第（一）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第三项,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第九条第一款,不正当竞争/商业贿赂,ai,
《反不正当竞争法》第五条第（二）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《湖北省反不正当竞争条例》第九条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《福建省实施〈中华人民共和国反不正当竞争法〉办法》第七条第一款第三条,不正当竞争/商业贿赂,不正当竞争||竞争,
《福建省实施〈中华人民共和国反不正当竞争法〉办法》第十一条第（一）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《福建省实施〈中华人民共和国反不正当竞争法〉办法》第十五条和,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第十三条第三项,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第十三条第(三)项,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第十三条“经营者不得从事下列有奖销售第（三）项,不正当竞争/商业贿赂,不正当竞争||有奖销售||竞争,
《反不正当竞争法》第十三条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第六条第（二）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第六条和,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第六条及,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第六条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第八条第一款和,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第八条第一款及,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第八条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第八条国家工商行政管理局,不正当竞争/商业贿赂,不正当竞争||竞争,
《湖北省反不正当竞争条例》第十条第（三）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《湖北省反不正当竞争条例》第十条第二项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《湖北省反不正当竞争条例》第十条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《反不正当竞争法》第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《湖北省反不正当竞争条例》第十一条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《湖北省反不正当竞争条例》第二十六条“违反本条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《湖北省反不正当竞争条例》第二十七条第（三）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《湖北省反不正当竞争条例》第二十七条第三项之规定：“违反本条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《湖北省反不正当竞争条例》第二十七条“违反本条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《湖北省反不正当竞争条例》第二十七条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《反不正当竞争法》第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第五条第（四）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第三款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争条法》第九条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民反不正当竞争法》第二十四条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十二条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第一款和国家工商局,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第一款和,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第一款及,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第一款之规定依据,不正当竞争/商业贿赂,不正当竞争||竞争,
《重庆反不正当竞争条例》第二十条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《重庆反不正当竞争条例》第四十五条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《重庆市反不正当竞争条例》,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《中华人民共和国反不正当竞争法》第八条第一款、,不正当竞争/商业贿赂,不正当竞争||竞争,
《重庆市反不正当竞争条例》第三十七条第一款,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《重庆市反不正当竞争条例》第二十一条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
"《中华人民共和国反不正当竞争法》第八条第一款,",不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第一款的规定,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《福建省实施〈反不正当竞争法〉办法》,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条和,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条及,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条、,不正当竞争/商业贿赂,不正当竞争||竞争,
《重庆市反不正当竞争条例》第五十一条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《中华人民共和国反不正当竞争法》第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《重庆市反不正当竞争条例》第十一条一款第（六）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《中华人民共和国反不正当竞争法》第八条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第五条（四）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第五条第（四）项“第五条,不正当竞争/商业贿赂,不正当竞争||竞争,
《福建省实施（反不正当竞争法）办法》第十一条第（三）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《重庆市反不正当竞争条例》第十一条第（六）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《重庆市反不正当竞争条例》第二十九条第（四）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《中华人民共和国反不正当竞争法》第八条第一款的规定依据,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第一款规定依据,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第9条,不正当竞争/商业贿赂,不正当竞争||竞争,
"《反不正当竞争法》第二十三条,",不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十三条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第二十一条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第九条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第九条和第二十四条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第九条,不正当竞争/商业贿赂,不正当竞争||竞争,
《反不正当竞争法》第七条和第三十条,不正当竞争/商业贿赂,不正当竞争||竞争,
《上海市反不正当竞争条例》第十条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《反不正当竞争法》第9条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第一款第（三）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第一款第三项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第(三)项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条及,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条,不正当竞争/商业贿赂,不正当竞争||竞争,
《山东省实施〈中华人民共和国反不正当竞争法〉办法》第二十六条第六款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十一条第一款第(一)项及第(二)项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十一条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第六条第四项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第六条第一项之规定,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第六条第一款第（一）项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第六条和关于,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第六条和,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第六条及,不正当竞争/商业贿赂,不正当竞争||竞争,
"《中华人民共和国反不正当竞争法》第六条,",不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第六条,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第（一）款、,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第八条第一项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第十三条第一项,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争》第八条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《中华人民共和国反不正当竞争法》第9条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《河北省反不正当竞争条例》第十条第一款第三项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《北京市反不正当竞争条例》第三十八条第一款,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《北京市反不正当竞争条例》第三十八条第一款,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《河北省反不正当竞争条例》第十条第（二）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《河北省反不正当竞争条例》第十条第（三）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《河北省反不正当竞争条例》第十条第四项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《北京市反不正当竞争条例》第三十八条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《北京市反不正当竞争条例》第三十二条,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《北京市反不正当竞争条例》,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《河北省反不正当竞争条例》第十条第三项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《河北省反不正当竞争条例》第十条第一款（三）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《河北省反不正当竞争条例》,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《河北省反不正当竞争条例》第10条第3项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
依据《中华人民共和国反不正当竞争法》第十八条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《河北省反不正当竞争条例》第十条第一款第（八）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《河北省反不正当竞争条例》第十条第一款第（一）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《北京市反不正当竞争条例》第八条第（二）项的规定依据,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
依据《中华人民共和国反不正当竞争法》第二十条第一款,不正当竞争/商业贿赂,不正当竞争||竞争,
《北京市反不正当竞争条例》第十五条的规定依据,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《河北省反不正当竞争条例》第十条第（五）项,不正当竞争/商业贿赂,不正当竞争||反不正当竞争条例||竞争,
《国家工商行政管理局关于电信局对不从该局购买手机入网者多收入网费的行为是否构成不正当竞争行为问题的答复》,不正当竞争/商业贿赂,不正当竞争||竞争,
