original_article,cleaned_article,change_description,legal_violation_categories
依据《中华人民共和国反不正当竞争法》第十八条第一款,《中华人民共和国反不正当竞争法》第十八条第一款,"去除前缀""依据""",不正当竞争/商业贿赂
《北京市反不正当竞争条例》第八条第（二）项的规定依据,《北京市反不正当竞争条例》第八条第（二）项的规定,"截断后缀""依据""",不正当竞争/商业贿赂
依据《中华人民共和国反不正当竞争法》第二十条第一款,《中华人民共和国反不正当竞争法》第二十条第一款,"去除前缀""依据""",不正当竞争/商业贿赂
《北京市反不正当竞争条例》第十五条的规定依据,《北京市反不正当竞争条例》第十五条的规定,"截断后缀""依据""",不正当竞争/商业贿赂
《北京市反不正当竞争条例》第十五条第二款第（四）项的规定依据,《北京市反不正当竞争条例》第十五条第二款第（四）项的规定,"截断后缀""依据""",不正当竞争/商业贿赂
《北京市反不正当竞争条例》第十五条第二款第（四）项之规定依据,《北京市反不正当竞争条例》第十五条第二款第（四）项之规定,"截断后缀""依据""",不正当竞争/商业贿赂
《北京市反不正当竞争条例》第十五条第一款的规定依据,《北京市反不正当竞争条例》第十五条第一款的规定,"截断后缀""依据""",不正当竞争/商业贿赂
"《河北省反不正当竞争条例》第16条,",《河北省反不正当竞争条例》第16条,"截断后缀"",""",不正当竞争/商业贿赂
《中华人共和国反不正当竞争法》第九条第一款、,《中华人共和国反不正当竞争法》第九条第一款,"截断后缀""、""",不正当竞争/商业贿赂
《国家工商行政管理总局关于禁止仿冒知名商品特有的名称、包装、装潢的不正当竞争行为的若干规定》第三条第（一）项、第六条及,《国家工商行政管理总局关于禁止仿冒知名商品特有的名称、包装、装潢的不正当竞争行为的若干规定》第三条第（一）项、第六条,"截断后缀""及""",不正当竞争/商业贿赂
《关于禁止有奖销售活动中不正当竞争行为的若干规定》第七条第二款和,《关于禁止有奖销售活动中不正当竞争行为的若干规定》第七条第二款,"截断后缀""和""",不正当竞争/商业贿赂
《关于禁止有奖销售活动中不正当竞争行为的若干规定》第七条第一款第二款、,《关于禁止有奖销售活动中不正当竞争行为的若干规定》第七条第一款第二款,"截断后缀""、""",不正当竞争/商业贿赂
《关于禁止仿冒知名商品特有的名称、包装、装潢的不正当竞争行为的若干规定》第八条、,《关于禁止仿冒知名商品特有的名称、包装、装潢的不正当竞争行为的若干规定》第八条,"截断后缀""、""",不正当竞争/商业贿赂
《四川省反不正当竞争条例》第十二条第一、三款,《四川省反不正当竞争条例》第十二条,"截断后缀""第一、三款""",不正当竞争/商业贿赂
《浙江省反不正当竞争条例》第二十八条、,《浙江省反不正当竞争条例》第二十八条,"截断后缀""、""",不正当竞争/商业贿赂
依据《上海市公共汽车和电车客运管理条例》第四十九条第一款第六项,《上海市公共汽车和电车客运管理条例》第四十九条第一款第六项,"去除前缀""依据""",交通运输
依据1.《城市道路管理条例》第四十二条,《城市道路管理条例》第四十二条,"去除前缀""依据""",交通运输
依据《城市道路管理条例》第四十二条的规定,《城市道路管理条例》第四十二条的规定,"去除前缀""依据""",交通运输
依据《城市道路管理条例》第四十二条,《城市道路管理条例》第四十二条,"去除前缀""依据""",交通运输
《济南市客运出租汽车管理条例》第二十二条第(一)项规定,《济南市客运出租汽车管理条例》第二十二条第(一)项,"截断后缀""规定""",交通运输
"《河北省治理货运车辆超限超载规定》第十九条第一项,",《河北省治理货运车辆超限超载规定》第十九条第一项,"截断后缀"",""",交通运输
《河北省治理货运车辆超限超载规定》第十九条一项,《河北省治理货运车辆超限超载规定》第十九条,"截断后缀""一项""",交通运输
《河北省治理货运车辆超限超载规定》第三十条第一项处罚决定:责令改正,《河北省治理货运车辆超限超载规定》第三十条第一项,"截断后缀""处罚决定:责令改正""",交通运输
"《河北省治理货运车辆超限超载规定》第三十条第一款的规定,决定给予责令改正,罚款",《河北省治理货运车辆超限超载规定》第三十条第一款的规定,"截断后缀"",决定给予责令改正,罚款""",交通运输
《河北省治理货运车辆超限超载规定》第三十条的规定责令立即改正并处罚款,《河北省治理货运车辆超限超载规定》第三十条的规定,"截断后缀""责令立即改正并处罚款""",交通运输
《河北省治理货运车辆超限超载规定》第三十条的规定责令立即改正并处壹仟元罚款,《河北省治理货运车辆超限超载规定》第三十条的规定,"截断后缀""责令立即改正并处壹仟元罚款""",交通运输
《河北省治理货运车辆超限超载规定》第三十条一款的规定本机关决定给予:责令改正,《河北省治理货运车辆超限超载规定》第三十条一款的规定,"截断后缀""本机关决定给予:责令改正""",交通运输
"《浙江省城市道路管理办法》第二十七条第（一）项,",《浙江省城市道路管理办法》第二十七条第（一）项,"截断后缀"",""",交通运输
依据南宁市出租汽车客运管理条例》第五十三条第一款第一项,南宁市出租汽车客运管理条例》第五十三条第一款第一项,"去除前缀""依据""",交通运输
《城市道路管理条例》第四十二条、,《城市道路管理条例》第四十二条,"截断后缀""、""",交通运输
依据《浙江省城市道路管理办法》第三十六条,《浙江省城市道路管理办法》第三十六条,"去除前缀""依据""",交通运输
依据《浙江省城市道路管理办法》第三十六条的规定,《浙江省城市道路管理办法》第三十六条的规定,"去除前缀""依据""",交通运输
依据《海南经济特区机动车辆通行附加费征收管理条,《海南经济特区机动车辆通行附加费征收管理条,"去除前缀""依据""",交通运输
《城市道路管理条例》第四十二条n行政处罚决定:罚款,《城市道路管理条例》第四十二条,"截断后缀""n行政处罚决定:罚款""",交通运输
《辽宁省客运出租汽车管理条例》第二十四条一款,《辽宁省客运出租汽车管理条例》第二十四条,"截断后缀""一款""",交通运输
依照《城市道路管理条,《城市道路管理条,"去除前缀""依照""",交通运输
《城市道路管理条例》第三十五条规定,《城市道路管理条例》第三十五条,"截断后缀""规定""",交通运输
《中华人民共和国内河交通管理条例》第二十四条第一款和,《中华人民共和国内河交通管理条例》第二十四条第一款,"截断后缀""和""",交通运输
根据《城市道路管理条例》第四十二条,《城市道路管理条例》第四十二条,"去除前缀""根据""",交通运输
根据《城市道路管理条例》第四十二条第(二)项,《城市道路管理条例》第四十二条第(二)项,"去除前缀""根据""",交通运输
"《城市道路管理条例》第二十七条第七项,",《城市道路管理条例》第二十七条第七项,"截断后缀"",""",交通运输
根据《济南市客运出租汽车管理条例》第四十八条第(二)项,《济南市客运出租汽车管理条例》第四十八条第(二)项,"去除前缀""根据""",交通运输
《城市道路管理条例》第二十七条第一项和,《城市道路管理条例》第二十七条第一项,"截断后缀""和""",交通运输
"《网络预约出租汽车经营服务管理暂行办法》第三十五条第一款第(一)项的规定,决定给予罚款",《网络预约出租汽车经营服务管理暂行办法》第三十五条第一款第(一)项的规定,"截断后缀"",决定给予罚款""",交通运输
"《网络预约出租汽车经营服务管理暂行办法》第三十五条第一款第(一)项的规定,决定给予罚款",《网络预约出租汽车经营服务管理暂行办法》第三十五条第一款第(一)项的规定,"截断后缀"",决定给予罚款""",交通运输
"《网络预约出租汽车经营服务管理暂行办法》第三十五条第一款第(二)项的规定,决定给予罚款",《网络预约出租汽车经营服务管理暂行办法》第三十五条第一款第(二)项的规定,"截断后缀"",决定给予罚款""",交通运输
"《网络预约出租汽车经营服务管理暂行办法》第十七条,给予滴滴出行科技有限公司罚款",《网络预约出租汽车经营服务管理暂行办法》第十七条,"截断后缀"",给予滴滴出行科技有限公司罚款""",交通运输
"《网络预约出租汽车经营服务管理规定》第三十五条的规定,本机关作出罚款",《网络预约出租汽车经营服务管理规定》第三十五条的规定,"截断后缀"",本机关作出罚款""",交通运输
《城市道路管理条例》第四十二条行政处罚决定:罚款,《城市道路管理条例》第四十二条,"截断后缀""行政处罚决定:罚款""",交通运输
《中华人民共和国公路法》第五十五条;,《中华人民共和国公路法》第五十五条,"截断后缀"";""",交通运输违规
《道路旅客运输及客运站管理规定》第八十条第一款.给予其罚款,《道路旅客运输及客运站管理规定》第八十条第一款,"截断后缀"".给予其罚款""",交通运输违规
《中华人民共和国公路法》第四十九条、五十条第一款和,《中华人民共和国公路法》第四十九条、五十条第一款,"截断后缀""和""",交通运输违规
《中华人民共和国公路法》第五十六条第一款的规定决定给予责令限期拆除并处10000元罚款,《中华人民共和国公路法》第五十六条第一款的规定,"截断后缀""决定给予责令限期拆除并处10000元罚款""",交通运输违规
《中华人民共和国公路法》第五十六条第一款规定,《中华人民共和国公路法》第五十六条第一款,"截断后缀""规定""",交通运输违规
《道路旅客运输及客运站管理规定》第八十条第（一）项处以罚款,《道路旅客运输及客运站管理规定》第八十条第（一）项,"截断后缀""处以罚款""",交通运输违规
《中华人民共和国公路法》第五十条第一规定,《中华人民共和国公路法》第五十条,"截断后缀""第一规定""",交通运输违规
《中华人民共和国公路法》第五十条第一款规定,《中华人民共和国公路法》第五十条第一款,"截断后缀""规定""",交通运输违规
《中华人民共和国公路法》第五十条第一款和,《中华人民共和国公路法》第五十条第一款,"截断后缀""和""",交通运输违规
《中华人民共和国公路法》第五十条第一款、,《中华人民共和国公路法》第五十条第一款,"截断后缀""、""",交通运输违规
"《中华人民共和国公路法》第五十条第一款,",《中华人民共和国公路法》第五十条第一款,"截断后缀"",""",交通运输违规
《中华人民共和国公路法》第五十条、,《中华人民共和国公路法》第五十条,"截断后缀""、""",交通运输违规
《中华人民共和国公路法》第七十六条第（五）项和,《中华人民共和国公路法》第七十六条第（五）项,"截断后缀""和""",交通运输违规
《中华人民共和国公路法》第二十五条、,《中华人民共和国公路法》第二十五条,"截断后缀""、""",交通运输违规
"《中华人民共和国公路法》第四十九条、第五十条第一款,",《中华人民共和国公路法》第四十九条、第五十条第一款,"截断后缀"",""",交通运输违规
"《新疆维吾尔自治区道路运输条例》第三十五条第二款的规定,依据",《新疆维吾尔自治区道路运输条例》第三十五条第二款的规定,"截断后缀"",依据""",交通运输违规
"《新疆维吾尔自治区道路运输条例》第五十二条的规定,决定给予罚款",《新疆维吾尔自治区道路运输条例》第五十二条的规定,"截断后缀"",决定给予罚款""",交通运输违规
《道路运输车辆动态监督管理办法》第二十三、二十四、二十五条,《道路运输车辆动态监督管理办法》,"截断后缀""第二十三、二十四、二十五条""",交通运输违规
《中华人民共和国公路法》第五十五条、,《中华人民共和国公路法》第五十五条,"截断后缀""、""",交通运输违规
《中华人民共和国公路法》第七十六条第二项、,《中华人民共和国公路法》第七十六条第二项,"截断后缀""、""",交通运输违规
"《中华人民共和国公路法》第七十六条第五项,",《中华人民共和国公路法》第七十六条第五项,"截断后缀"",""",交通运输违规
《中华人民共和国公路法》第七十六条第五项、,《中华人民共和国公路法》第七十六条第五项,"截断后缀""、""",交通运输违规
《中华人民共和国公路法》第七十六条第五项和,《中华人民共和国公路法》第七十六条第五项,"截断后缀""和""",交通运输违规
《中华人民共和国公路法》第七十六条第五项罚款,《中华人民共和国公路法》第七十六条第五项,"截断后缀""罚款""",交通运输违规
《中华人民共和国公路法》第四十九条和五十条,《中华人民共和国公路法》第四十九条,"截断后缀""和五十条""",交通运输违规
《中华人民共和国公路法》第七十六条第（五）项、,《中华人民共和国公路法》第七十六条第（五）项,"截断后缀""、""",交通运输违规
《道路旅客运输及客运站管理规定》第八十条第（二）项处以罚款,《道路旅客运输及客运站管理规定》第八十条第（二）项,"截断后缀""处以罚款""",交通运输违规
《浙江省快递业促进条例》第三十一条第二款的相关规定,《浙江省快递业促进条例》第三十一条第二款,"截断后缀""的相关规定""",交通运输违规
《道路旅客运输及客运站管理规定》第壹百条第一款：罚款,《道路旅客运输及客运站管理规定》第壹百条第一款,"截断后缀""：罚款""",交通运输违规
《广西壮族自治区道路运输管理条例》第三十七条第（二）项处以罚款,《广西壮族自治区道路运输管理条例》第三十七条第（二）项,"截断后缀""处以罚款""",交通运输违规
《快递安全生产操作规范》第6.4条,《快递安全生产操作规范》,"截断后缀""第6.4条""",交通运输违规
《中华人民共和国公路法》第四十九、五十条,《中华人民共和国公路法》,"截断后缀""第四十九、五十条""",交通运输违规
"《道路旅客运输及客运站管理规定》第十二条的规定,根据",《道路旅客运输及客运站管理规定》第十二条的规定,"截断后缀"",根据""",交通运输违规
《中华人民共和国公路法》第十二届人大修正）第五十条第一款和,《中华人民共和国公路法》第十二届人大修正）第五十条第一款,"截断后缀""和""",交通运输违规
《中华人民共和国公路法》第十二届人大修正）第五十条和,《中华人民共和国公路法》第十二届人大修正）第五十条,"截断后缀""和""",交通运输违规
《中华人民共和国公路法》第十二届人大修正）第七十六条第五项、,《中华人民共和国公路法》第十二届人大修正）第七十六条第五项,"截断后缀""、""",交通运输违规
《中华人民共和国公路法》第十二届人大修正)第七十六条第五项、,《中华人民共和国公路法》第十二届人大修正)第七十六条第五项,"截断后缀""、""",交通运输违规
《中华人民共和国公路法》第六十九条、,《中华人民共和国公路法》第六十九条,"截断后缀""、""",交通运输违规
《中华人民共和国公路法》第八十条、,《中华人民共和国公路法》第八十条,"截断后缀""、""",交通运输违规
《道路旅客运输及客运站管理规定》第八十条第（三）项处以罚款,《道路旅客运输及客运站管理规定》第八十条第（三）项,"截断后缀""处以罚款""",交通运输违规
《中华人民共和国公路法》第四十九条、五十条和,《中华人民共和国公路法》第四十九条,"截断后缀""、五十条和""",交通运输违规
《中华人民共和国公路法》第四十九条、,《中华人民共和国公路法》第四十九条,"截断后缀""、""",交通运输违规
《海南省邮政条例》第53条第5款邮政企业、快递企业违反本条例第三十八条第一、二、三款,《海南省邮政条例》第53条第5款邮政企业、快递企业违反本条例第三十八条,"截断后缀""第一、二、三款""",交通运输违规
《道路货物运输及站场管理规定》第三十二条;,《道路货物运输及站场管理规定》第三十二条,"截断后缀"";""",交通运输违规
"《道路货物运输及站场管理规定》第三十八条,",《道路货物运输及站场管理规定》第三十八条,"截断后缀"",""",交通运输违规
《道路货物运输及站场管理规定》第三十六条依据,《道路货物运输及站场管理规定》第三十六条,"截断后缀""依据""",交通运输违规
"《道路旅客运输及客运站管理规定》第四十七条第一款,",《道路旅客运输及客运站管理规定》第四十七条第一款,"截断后缀"",""",交通运输违规
《道路货物运输及站场管理规定》第十四条依据,《道路货物运输及站场管理规定》第十四条,"截断后缀""依据""",交通运输违规
《山东省道路运输条例》第六十八条：“违反本条,《山东省道路运输条例》第六十八条,"截断后缀""：“违反本条""",交通运输违规
《山东省道路运输条例》第六十六条第（三）项：“违反本条,《山东省道路运输条例》第六十六条第（三）项,"截断后缀""：“违反本条""",交通运输违规
《山东省道路运输条例》第六十六条第（四）项：“违反本条,《山东省道路运输条例》第六十六条第（四）项,"截断后缀""：“违反本条""",交通运输违规
"《道路货物运输及站场管理规定》第十九条,",《道路货物运输及站场管理规定》第十九条,"截断后缀"",""",交通运输违规
《道路货物运输及站场管理规定》第十三条规定,《道路货物运输及站场管理规定》第十三条,"截断后缀""规定""",交通运输违规
《山东省道路运输条例》第六十七条第（四）项：违反本条,《山东省道路运输条例》第六十七条第（四）项,"截断后缀""：违反本条""",交通运输违规
《山东省道路运输条例》第六十九条第（三）项：“违反本条,《山东省道路运输条例》第六十九条第（三）项,"截断后缀""：“违反本条""",交通运输违规
《山东省道路运输条例》第六十七条第（六）项：“违反本条,《山东省道路运输条例》第六十七条第（六）项,"截断后缀""：“违反本条""",交通运输违规
《道路运输从业人员管理规定》第十条第四款;依据,《道路运输从业人员管理规定》第十条第四款,"截断后缀"";依据""",交通运输违规
《道路运输条例》第七十条违反本条,《道路运输条例》第七十条,"截断后缀""违反本条""",交通运输违规
《道路货物运输及站场管理规定》第六十七条第（二）项处以罚款,《道路货物运输及站场管理规定》第六十七条第（二）项,"截断后缀""处以罚款""",交通运输违规
《道路货物运输及站场管理规定》第五十八条第二款处以罚款,《道路货物运输及站场管理规定》第五十八条第二款,"截断后缀""处以罚款""",交通运输违规
《道路货物运输及站场管理规定》第六十三条决定给予罚款,《道路货物运输及站场管理规定》第六十三条,"截断后缀""决定给予罚款""",交通运输违规
《道路货物运输及站场管理规定》第六十条第(二)项处以罚款,《道路货物运输及站场管理规定》第六十条第(二)项,"截断后缀""处以罚款""",交通运输违规
《道路货物运输及站场管理规定》第六十四条第（二）项决定给予罚款,《道路货物运输及站场管理规定》第六十四条第（二）项,"截断后缀""决定给予罚款""",交通运输违规
《道路货物运输及站场管理规定》第六十八条处以罚款,《道路货物运输及站场管理规定》第六十八条,"截断后缀""处以罚款""",交通运输违规
《道路货物运输及站场管理规定》第六十八条处以罚款,《道路货物运输及站场管理规定》第六十八条,"截断后缀""处以罚款""",交通运输违规
《道路货物运输及站场管理规定》第六十五条第二款处以罚款,《道路货物运输及站场管理规定》第六十五条第二款,"截断后缀""处以罚款""",交通运输违规
《道路货物运输及站场管理规定》第六十五条第一款处以罚款,《道路货物运输及站场管理规定》第六十五条第一款,"截断后缀""处以罚款""",交通运输违规
《道路货物运输及站场管理规定》第六十九条处以罚款,《道路货物运输及站场管理规定》第六十九条,"截断后缀""处以罚款""",交通运输违规
《道路货物运输及站场管理规定》第六十三条第一款决定给予罚款,《道路货物运输及站场管理规定》第六十三条第一款,"截断后缀""决定给予罚款""",交通运输违规
《道路货物运输及站场管理规定》第十三条的规定根据,《道路货物运输及站场管理规定》第十三条的规定,"截断后缀""根据""",交通运输违规
《山东省道路运输条例》第七十条第七项：“违反本条,《山东省道路运输条例》第七十条第七项,"截断后缀""：“违反本条""",交通运输违规
《山东省道路运输条例》第六十七条第(六)项:“违反本条,《山东省道路运输条例》第六十七条第(六)项,"截断后缀"":“违反本条""",交通运输违规
《道路货物运输及站场管理规定》第六十条第（二）项处以罚款,《道路货物运输及站场管理规定》第六十条第（二）项,"截断后缀""处以罚款""",交通运输违规
《山东省道路运输条例》第六十七条第(四)项:违反本条,《山东省道路运输条例》第六十七条第(四)项,"截断后缀"":违反本条""",交通运输违规
《道路货物运输及站场管理规定》第十三条依据,《道路货物运输及站场管理规定》第十三条,"截断后缀""依据""",交通运输违规
《山东省道路运输条例》第六十七条第（五）项：违反本条,《山东省道路运输条例》第六十七条第（五）项,"截断后缀""：违反本条""",交通运输违规
《道路货物运输及站场管理规定》第五十八条第一款处以罚款,《道路货物运输及站场管理规定》第五十八条第一款,"截断后缀""处以罚款""",交通运输违规
《山东省道路运输条例》第五十六条规定,《山东省道路运输条例》第五十六条,"截断后缀""规定""",交通运输违规
《山东省道路运输条例》第五十四条和,《山东省道路运输条例》第五十四条,"截断后缀""和""",交通运输违规
《道路运输车辆动态监督管理办法》第三十六条第(二)项处以罚款,《道路运输车辆动态监督管理办法》第三十六条第(二)项,"截断后缀""处以罚款""",交通运输违规
《道路运输车辆动态监督管理办法》第三十六条规定,《道路运输车辆动态监督管理办法》第三十六条,"截断后缀""规定""",交通运输违规
《道路运输车辆动态监督管理办法》第三十七条处以罚款,《道路运输车辆动态监督管理办法》第三十七条,"截断后缀""处以罚款""",交通运输违规
《中华人民共和国公路法》第七十六条第(五)项和,《中华人民共和国公路法》第七十六条第(五)项,"截断后缀""和""",交通运输违规
"《中华人民共和国公路法》第七十六条第(五)项,",《中华人民共和国公路法》第七十六条第(五)项,"截断后缀"",""",交通运输违规
《中华人民共和国公路法》第46条、,《中华人民共和国公路法》第46条,"截断后缀""、""",交通运输违规
《中华人民共和国公路法》第77条、,《中华人民共和国公路法》第77条,"截断后缀""、""",交通运输违规
《中华人民共和国公路法》第七十六条;,《中华人民共和国公路法》第七十六条,"截断后缀"";""",交通运输违规
《中华人民共和国公路法》第七十六条、,《中华人民共和国公路法》第七十六条,"截断后缀""、""",交通运输违规
